session_id,rep_index,global_rep_id,err_knee_flexion_at_bottom,err_knee_flexion_range,err_trunk_lean_at_bottom,err_trunk_lean_mean,err_trunk_lean_max,err_trunk_lean_range,err_trunk_lean_at_end,err_descent_ascent_ratio,err_descent_time_s,err_ascent_time_s,err_knee_vel_max_descent,err_knee_vel_max_ascent,err_knee_jerk_max,err_knee_jerk_rms,err_normalized_jerk_cost
32903_8,0,0,0.006221733925654703,0.005240755225780431,0.0001689589601666426,0.012009285802444463,0.0008294873228558571,0.002773219832630953,0.024819795534259878,0.013416836438611069,0.006474140140431409,0.0051574944404907015,0.03604516682145764,0.022413493276907538,0.02907097427688916,0.003850370745167848,0.00012425109569862223
32903_8,1,1,0.01874010959594642,0.030158883234336367,0.00018045644272750172,0.0006554773262054514,0.00013902284317151295,0.0009794296820484077,0.002121569975227335,0.009919821925079394,0.011870861312797748,0.014109311441797823,0.012477286325577996,0.019529225626029444,0.00021282456736125096,0.00021627256406446562,6.942465225071689e-07
32907_3,0,2,0.04594261120100099,0.07948099591021365,0.024431515281952983,0.041002102744518265,0.054646185755063297,0.03159337737223631,0.03945769619480511,0.030977531923051863,0.02113139847758901,0.01876216260110729,0.009071983630427771,0.0004768090030577925,0.012712521510099495,0.009497022964938479,3.67131916103848e-05
32907_3,1,3,0.09350054193599168,0.10084406624553541,1.2010049942027048e-05,0.1348054573269059,4.566616260797379e-08,0.01359340510818232,0.10616063572666645,0.07531615869153956,0.022944765995023902,0.032159216840374025,0.005323989957134353,0.1294548944939297,0.015696510353897374,0.0012300165063993018,0.00011774566327155596
32907_3,2,4,0.00031208722058836236,0.00018990059632222563,0.022825352834779187,2.9068293400936884e-05,0.00013741028612049627,0.002654706471095036,0.04133869924625588,3.7480586256897676e-06,0.0195781577382066,0.028383651408737436,0.019195378485311103,0.07556082891643777,0.0032186309071499213,9.151549339752013e-05,0.0001840413866292658
32964_1,0,5,0.04894442625318825,0.08834340153780944,0.011480140692584488,0.00441806546015091,0.0030420338516355585,0.001853253349719369,0.170964695433625,0.022714524272193184,0.01260234451271669,0.01064826961075815,0.017521042549597785,0.0161346513889912,0.0063987316825378365,0.00043102431605687144,2.0900291898485848e-05
32964_1,1,6,0.0013929063577045094,0.00016280990140064483,0.0218268847951005,0.04793857688068441,0.00026297554227591437,0.010965193560036866,0.24680071441511028,0.0002107188176822501,0.0008376667786191159,0.0015971209454282988,0.007107544997308668,0.08791229348088356,0.0036859644836861214,0.020715161278028724,0.00018648689701359595
32971_2,0,7,0.005320678502369019,0.005650574902576404,6.222115020445914e-05,0.023853644386850878,0.006236086112695256,0.00817409288042569,0.06724418533772257,0.000825445372435119,0.0018496883965845412,0.0022891623286898284,0.07222882263042103,0.004467080746785124,0.005125026451047231,0.01948023686859922,7.543462647759077e-05
32971_2,1,8,0.003508250470859922,0.0029527909602611872,0.05351378004079712,0.00859372186840525,0.007029582397593929,0.002668272244286699,0.10350155836713723,0.04244380098076338,0.03028534053325004,0.02519505837390491,0.06060458652419762,0.2150703474320959,0.0706431923631994,0.12968471526784803,0.0004478827317782019
32975_6,0,9,0.010052157504659655,0.020502342043515743,0.044783542454949934,0.023087446931042328,7.997099594855191e-05,0.00010068374717133917,0.017068667327226814,0.027312709921583706,0.011297219464612247,0.008823367471773433,0.010235634201259424,0.0625804923682128,0.0011061849290897115,0.0019947658742507646,0.0002679954318488325
32975_6,1,10,0.026284963557306387,0.03023505638045913,0.000306872832066373,0.09844227563937023,0.000710483706643938,0.008983634104027418,0.11319069555911383,0.00012263072841568772,0.00045521653969392105,0.003757638133673051,0.013469452644899023,0.026374848976636497,0.029489213797187556,0.02763915508279826,9.476607347928342e-06
